price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement,yr_built,yr_renovated
5147645.95,3,1,1450,6000,1,4,1450,0,1953,1983
111522728.9,7,8,13540,307752,3,3,9410,4130,1999,0
4601713.42,3,2.5,1880,7838,2,3,1880,0,1994,0
3943286.62,3,1.75,1880,6360,1,4,1040,840,1945,0
3614649.64,3,2,1410,6030,1.5,4,1410,0,1930,0
4450420.21,4,2,1480,3844,1.5,5,1480,0,1928,1970
4652957.19,2,1,1140,5250,1.5,4,1140,0,1949,1985
4935495.02,3,1.75,1920,9306,1,3,1000,920,1984,0
4941785.62,4,2.5,2910,6338,2,3,2910,0,2008,0
5701070.14,3,2.5,3240,7857,2,3,3240,0,1994,0
8185520.93,3,2,1550,15040,1,4,1550,0,1958,1972
6903501.58,5,2,2050,10200,1,3,1430,620,1956,2001
3617800.45,2,2.5,2220,4000,2,3,2220,0,2000,0
6232226.1,2,1,1770,8640,1.5,3,1520,250,1949,1998
6136037.89,4,1.75,2300,11700,1,4,1960,340,1977,0
4960301.81,3,2,1800,5000,1,4,1080,720,1942,1982
6569567.24,4,1.75,2010,9211,1,3,1470,540,1977,2004
2848909.58,3,2.5,1790,2700,2,3,1790,0,2010,0
4668186.36,4,2.5,2440,6651,2,3,2440,0,2014,0
3136758.42,3,2.5,1940,3211,2,3,1940,0,2009,0
1925445.47,2,1.5,1160,1438,2,3,1160,0,2001,0
6435050.69,4,2.5,3400,9692,2,3,3400,0,2007,0
5769934.91,4,4.25,4420,5750,2,3,3410,1010,2006,0
2449290.94,3,3,1571,2017,3,3,1571,0,2008,0
2139044.23,3,2.25,1620,998,2.5,3,1540,80,2010,0
1980144.39,3,2.5,1408,989,3,3,1408,0,2005,0
4454488.87,3,2.5,3040,4535,2,3,3040,0,2007,0
5854492.8,5,3.5,4490,6000,2,3,3200,1290,2006,0
2271103.04,2,2.5,1590,1426,2,3,1590,0,2014,0
5347842.56,4,2.5,2450,4247,2,3,2450,0,2013,1923
4143896.48,4,2,1440,7680,1,3,1200,240,1971,0
3888738.2,2,2,1100,3000,1.5,3,1100,0,1912,2005
5546223.78,3,1,1350,7740,1,4,860,490,1947,1988
14699771.78,4,2.5,2150,37981,2,3,2150,0,1985,0
4364174.14,3,1.75,1490,8366,1,4,1010,480,1975,0
5910872.79,3,2,2000,7000,2,3,2000,0,1916,1986
4298256.7,2,1,1030,4400,1,3,1030,0,1924,2011
4794463.41,2,1,720,6687,1,3,720,0,1942,1999
3770067.06,5,2,2020,5000,1.5,4,2020,0,1938,0
4362664.53,3,1.75,1580,8151,1,4,1100,480,1962,0
8274846.45,4,2.5,2110,13850,2,3,2110,0,1987,2000
5395045.95,4,2,1300,7054,1,3,1300,0,1950,2013
5692189.47,3,1.5,1630,7475,1,3,1160,470,1940,1996
7141209.69,4,2.75,3370,8103,1,3,1970,1400,1970,2014
3880312.11,4,2.5,1890,6156,1,3,980,910,1980,0
4353657.81,4,2,1520,7983,1,5,1520,0,1967,0
4447900.15,2,1,900,5160,1,3,900,0,1952,2008
5129052.49,3,1,1050,6874,1,3,1050,0,1954,2005
3657049.64,3,1.75,1260,6500,1,4,1260,0,1966,0
43381293.97,6,3,3470,117612,1.5,3,3470,0,1924,2011
6310699.66,4,2.5,2290,12047,2,4,2290,0,1988,0
11752947.51,4,2.25,2810,23400,1,3,1710,1100,1958,2004
7900981.67,3,2.5,1650,13816,2,3,1650,0,1998,2006
6447962.98,3,2.25,1640,14374,1,4,1140,500,1963,0
5321418.43,3,2.5,1850,10109,2,3,1850,0,1991,0
3898243.07,4,2.5,2000,5390,2,3,2000,0,2003,0
6328948.5,3,1.5,1410,9647,1,3,1410,0,1961,2004
6949303.48,4,1.75,1500,11600,1,4,1000,500,1955,2009
20490190.82,3,2.5,2460,54885,2,4,2460,0,1980,0
5149360.89,3,1,1010,7034,1,3,1010,0,1954,2005
3296682.55,2,2.25,1230,929,2,3,1020,210,2004,2003
3652535.14,4,2.5,2331,3826,2,3,2331,0,2007,0
4692590.38,5,2.5,2240,7770,1,3,1340,900,1978,0
5634934.54,4,3,2450,10117,1,5,1580,870,1967,0
7955117.85,4,3,3100,15480,2,3,2400,700,1996,0
5135065.95,4,2,2060,5000,1,3,1030,1030,1949,2013
5949950.66,3,1.75,1850,7684,1,3,1320,530,1979,2014
6857699.99,4,1.75,1840,10720,1,3,960,880,1958,2004
14157063.67,4,2,3740,32417,2,3,3740,0,2000,0
5986647.86,3,1.5,1420,8580,1,3,1420,0,1962,2003
5108985.36,3,1,1510,6083,1,4,860,650,1940,2001
5691217.25,3,1.75,2130,6500,1,3,1170,960,1954,2005
5342403.27,4,2.25,3490,6906,2,4,2280,1210,1928,0
5693446.64,3,1.75,1630,11800,1,4,1630,0,1971,0
4308082.25,3,2.5,1790,7167,2,3,1790,0,1989,0
3992829.31,4,2.5,2000,5684,2,3,2000,0,1996,0
11982287.83,4,2.25,2260,29930,2,4,1400,860,1977,0
5536243.67,4,2.5,3030,7864,2,3,3030,0,1999,0
5758947.66,3,1.5,1310,8160,1,3,1310,0,1950,2005
9927028.35,4,2.5,3880,14550,2,3,3880,0,1987,2000
6853406.43,4,3.25,3760,10920,1.5,5,2400,1360,1950,0
5621617.47,5,2.25,3040,8111,2,3,3040,0,1984,0
5778664.61,5,2.5,2910,9636,1,4,1690,1220,1964,0
6607526.21,3,2.5,2970,11985,1,3,1770,1200,1995,0
5229521.06,2,1.75,1660,6000,1,3,1160,500,1942,1999
8672776.31,4,2.5,3200,12369,2,3,3200,0,1998,2006
8821592.52,4,2,2680,18768,1,5,2680,0,1965,0
4637954.28,3,1,1230,9568,1,5,1230,0,1962,0
17717898.64,4,2.5,2740,45732,2,3,2740,0,1995,0
5971222.86,4,3.5,3380,8330,2,3,3380,0,2000,0
4970167.17,3,1,1110,6250,1,3,1110,0,1956,2001
4634249.97,5,2.75,1800,3780,1.5,3,1400,400,1926,2003
3735007.36,3,1.75,1900,5520,1,3,1280,620,1982,0
14729357.91,2,1,930,36478,1,3,930,0,1951,1994
5802056.23,3,1.75,1690,7735,1,4,1060,630,1976,1992
4504689.85,3,2,1420,4080,1.5,3,1420,0,1905,2013
10636492.88,5,4,4510,15175,2,3,4510,0,1969,2002
4649553.82,3,2.25,1980,8000,1,4,1560,420,1974,0
2141494.45,2,1.75,1170,2400,1,4,740,430,1903,0
2825667.74,3,2.5,2200,1970,2,3,1610,590,2008,0
4055848.89,3,1.5,800,8850,1,4,800,0,1959,0
2097946.38,3,2.5,1480,1171,3,3,1480,0,2006,0
4184686.7,5,3.75,2890,5000,1,3,1310,1580,2006,0
4015527.96,3,2.5,2690,4047,3,3,2690,0,2014,0
7585431.33,4,3.25,3569,8327,2,3,3569,0,2013,1923
1977700.29,3,2,1270,1320,3,3,1270,0,2006,0
8859975.36,5,5,4490,10279,2,3,3930,560,2013,1923
5074800.42,4,2.5,3040,6425,2,3,3040,0,2008,0
1876263.79,3,2.25,1170,1249,3,3,1170,0,2014,0
6322186.49,5,2.25,2060,8632,1,3,1030,1030,1962,2003
4789149.68,3,1,990,6000,1,3,990,0,1943,2002
4182552.48,4,2.5,2430,5203,2,3,2430,0,2003,0
38004558.94,4,4,4460,103382,2,3,4460,0,2001,0
4843181.24,3,1.75,1250,10122,1,3,1250,0,1994,0
3909024.57,3,2.75,1540,6760,1,5,1210,330,1980,0
4102250.54,3,2.5,1600,7000,2,4,1600,0,1993,0
5686910.69,3,1,1110,8423,1,3,1110,0,1952,2008
5391229.01,3,1.75,1840,10723,1,4,1220,620,1974,0
5593084.39,3,2.75,2520,5401,1,4,1360,1160,1946,1989
109932895,3,2.5,2680,327135,2,3,2680,0,1995,0
7136379,9,4.5,3830,6988,2.5,3,2450,1380,1938,2003
5458889.65,4,2.75,2410,9549,1,4,1780,630,1956,0
5179666.21,4,1.75,1720,10018,1,5,1720,0,1960,0
14481930.36,3,1.75,2070,37904,1,4,1420,650,1973,0
4902253.8,3,2,1760,9055,2,4,1760,0,1985,0
5304305.5,3,1.75,1680,10500,1,4,1680,0,1959,0
4025404.88,2,2,1550,2400,1.5,4,1550,0,1900,1971
23453429.22,3,3,4120,60392,2,3,3180,940,1994,0
5122094.01,4,3,1830,9548,2,3,1830,0,1991,0
4061191.76,3,1,1400,7410,1,3,1400,0,1944,0
7592528.1,3,1.75,1870,12381,1,4,1870,0,1957,2001
8120820.73,7,4.5,6210,8856,2.5,5,4760,1450,1910,0
2480343.87,2,1.5,1040,3500,1.5,4,1040,0,1904,0
53210346.19,3,1.75,2720,149410,1.5,3,2720,0,1988,2000
5925032.61,3,1,1010,9360,1,3,1010,0,1981,2013
4711568.15,3,1.75,1580,9147,1,4,1210,370,1967,0
4461824.9,4,2.75,2600,6050,2,5,1960,640,1949,0
6590856.44,3,2.5,1920,9180,2,3,1920,0,1988,2000
3948754.72,3,2,2350,5080,1.5,3,1780,570,1929,0
2770138.17,1,1,1100,4373,1,2,820,280,1947,0
8303905.5,4,2,2510,13695,1,4,1280,1230,1961,2001
38654787.32,3,2.5,3240,108366,2,4,3240,0,1991,0
38083922.59,3,2.5,2460,108900,1,4,1860,600,1977,0
4093617.43,2,1,1010,3885,1.5,4,1010,0,1906,1990
3570500.38,2,1,820,2723,1,3,820,0,1921,2000
5115426.28,5,2.5,2420,8560,1,3,1620,800,1978,0
6137546.03,3,2.25,1770,8165,2,3,1770,0,1977,2004
2885649.56,2,2,1350,3900,1,3,1350,0,2003,0
3479979.08,3,1.75,1960,4788,1,4,1090,870,1920,0
9741902.78,4,2.5,3305,16164,1.5,5,2245,1060,1922,1956
4271565.64,2,2.25,2550,5663,1,3,1720,830,2011,0
77779346.62,5,3.75,4130,226076,2,3,3170,960,1985,0
8167960.48,4,1.5,2310,13300,1,3,1890,420,1950,2005
4998137.41,4,2,1650,5000,1,3,1650,0,1955,2005
5355108.33,4,2.5,2650,4316,1.5,3,1520,1130,1905,2013
5423349.09,4,2.25,1890,5940,1,3,1470,420,1963,2008
4896618.96,3,1.75,2190,8000,1,4,2190,0,1967,0
5800579.54,3,2.5,2030,6500,2,3,2030,0,1988,2000
4017642.69,3,3,2270,5175,2,3,2130,140,2002,0
3043814.07,3,2,1610,4160,1,4,1010,600,1917,0
3598448.69,2,1,760,3001,1,3,760,0,1913,1983
7363486.76,2,1,1640,17335,1,3,840,800,1978,0
5860216.01,3,2.25,1630,12295,2,4,1630,0,1985,0
6964941.01,6,2.5,3560,6480,2.5,4,3560,0,1914,1945
6100232.74,3,3,2960,5500,2,3,2440,520,1937,1990
14394777.95,3,2.5,1940,37565,1,4,1940,0,1987,0
4131578.25,3,2,1410,7566,1,3,1410,0,1985,0
6918320.96,3,1,1040,16986,1,4,1040,0,1968,0
3264083.43,2,1,820,6400,1,4,820,0,1944,0
9972986.64,2,1,910,22000,1,3,910,0,1956,2001
7499976.99,7,5.75,3700,7647,2,3,3700,0,1948,1984
5938863.04,4,2.5,2180,11200,1,4,2180,0,1968,0
3208694.85,3,2.5,1600,4271,2,3,1600,0,2000,0
5165342.62,3,1.75,1500,6180,1,4,1060,440,1947,1988
4452596.08,3,1,1340,4284,1,3,1080,260,1910,2006
6397543.71,3,2,1860,13374,1,3,1860,0,1985,0
4720146.14,3,2,2540,7200,1.5,4,1600,940,1905,0
5629984.79,2,1,1040,13100,1,5,1040,0,1912,0
6796882.55,3,1.5,1380,11130,1,3,1380,0,1960,2012
6785865.02,3,1.75,1640,10762,1,3,1130,510,1988,2000
4603872.74,5,1.75,3000,6000,1,5,1500,1500,1958,0
7855739.95,4,2.75,2140,13000,1,3,1320,820,1968,1997
5384865.37,3,2,1760,6428,1,4,980,780,1942,1982
6089333.92,3,2.25,1660,8307,1,4,1660,0,1961,2001
7792100.95,3,2.5,1830,13042,2,3,1830,0,1990,2009
6403361.09,4,2,2210,8556,1,4,1210,1000,1954,1979
5400923.59,4,1,1490,6600,1,3,1490,0,1969,2010
1910044.23,3,1.5,1260,1270,2,3,1040,220,2005,0
6439581.79,5,4.5,4270,8076,2,3,3400,870,2007,0
6410732.65,4,3.5,3900,8391,2,3,3900,0,2006,0
1785626.42,2,2.5,1150,1027,3,3,1150,0,2008,0
9610495.47,4,2.75,2656,21195,2,3,2656,0,2014,0
3910775.1,5,2.75,2410,5003,1,3,1410,1000,2008,0
2291974.02,3,2.25,1606,1452,3,3,1606,0,2009,0
1405501.78,2,1,820,681,3,3,820,0,2006,0
5370448.94,2,1,1540,6872,1,4,820,720,1946,1989
6396211.75,3,2.75,2090,8354,2,3,2090,0,2012,1912
6552104.24,5,2.5,3160,11470,1,4,1780,1380,1971,0
6060035.47,4,1.75,1730,8320,1,3,1230,500,1977,2004
4623533.59,3,1,1670,4080,1,3,1170,500,1967,2011
4091651.81,4,2.5,2550,4630,2,3,2550,0,2005,0
5902335.17,5,3,3040,9601,1,5,1970,1070,1968,0
4492770.26,3,1,1250,4620,1.5,4,1150,100,1900,1971
4191438.27,4,2.5,2020,6236,2,3,2020,0,2002,0
4464796.96,4,2.5,2660,5500,2,3,2660,0,2003,0
4449058.25,2,1.5,980,5000,2,3,980,0,1922,2003
4586556.59,3,2.5,1960,8000,1,4,1290,670,1977,0
4262374,2,1,720,5040,1,3,720,0,1955,2005
1997266.21,2,2.5,1360,1349,2,3,1050,310,1997,0
3648648.12,2,2,1870,4950,1,3,1870,0,2006,0
6432692.98,4,1.5,2130,8800,1,3,1100,1030,1962,2003
4110089.32,4,2.5,1810,6509,2,3,1810,0,1994,0
32878266.72,2,1.75,2200,89298,1,3,1100,1100,1973,2013
3337854.73,3,2.5,1690,4500,1.5,4,1690,0,1928,0
4788684.73,3,2.5,1940,8547,1,3,1460,480,1989,0
5965051.1,4,2.5,2320,6270,2,3,2320,0,2004,2003
12037975.57,4,1.75,2060,26036,1,4,1160,900,1947,1988
4646457.93,4,1,3410,5000,2,5,2190,1220,1910,0
15994118.25,4,2.25,2250,41688,2,3,2250,0,1980,0
4058618.85,3,1.75,1390,7399,1,4,1390,0,1975,0
4500419.28,2,1,1060,4960,1,3,1060,0,1926,2003
6158988.54,3,1,1490,8995,1,4,1490,0,1954,1979
6830610.55,4,1.75,2480,9195,1,3,1390,1090,1950,2005
9306884.47,5,2.25,2440,20828,1.5,4,2440,0,1975,0
30900259.36,3,1.5,2240,87625,1.5,2,1480,760,1980,0
4433933.17,3,2.5,1920,7229,2,3,1920,0,1993,0
5152129.3,3,1.75,1890,9920,1,3,1230,660,1944,0
8246614.57,4,1.75,2250,13515,1,4,2150,100,1940,2001
2389554.27,2,1,1270,3008,1,4,650,620,1923,0
1883937.61,2,1.5,960,1808,2,3,960,0,1993,0
5287308.4,4,2.5,3290,6465,2,3,3290,0,2002,0
5467728.76,4,1.75,2000,6120,1,3,1100,900,1965,1993
4001282.16,2,1,1020,8155,1,4,1020,0,1948,0
6547888.46,4,1.75,1840,9600,1,3,1220,620,1967,2011
4322817.78,3,1.75,1980,6760,1,4,1980,0,1973,0
6721094.52,6,3,3510,5760,2.5,4,3510,0,1906,1990
2672029.3,2,1.75,1230,3600,1.5,5,1230,0,1925,0
25462804.71,4,2.5,2280,65836,2,3,2280,0,2004,2003
6436702.05,3,1.75,2430,12757,1,4,1340,1090,1952,0
4164419.4,3,2.5,2920,3942,3,3,2920,0,2008,0
3130506.51,4,2.75,2280,2850,1.5,4,1540,740,1930,0
17527639.56,3,2,1510,43560,1,3,1510,0,1954,2005
4700746.63,3,1.75,950,6000,1,3,790,160,1939,1969
2462942.81,3,2.5,1190,3000,2,3,1190,0,2002,0
6124420.52,3,1.75,1310,9282,1,4,1310,0,1976,1992
5156378.44,5,3.25,2800,3200,1.5,5,1910,890,1932,2002
3026885.57,3,2.5,1750,3354,2,4,1750,0,1991,0
3447860.59,3,1.75,1320,5750,1.5,5,1320,0,1918,0
4906987.39,4,2.5,2460,7350,2,3,2460,0,1989,0
6576753.67,3,2,1240,10800,1,3,1240,0,1967,2010
5659430.82,3,1.5,1260,7964,1,4,1260,0,1955,2009
7727470.04,6,2.25,2820,15600,1.5,5,1970,850,1940,0
11417287.26,4,3.25,3820,24166,2,4,3310,510,1990,0
2278537.44,3,2.5,1540,1614,3,3,1470,70,2008,0
144579547.6,2,2,1550,435600,1.5,2,1550,0,1972,0
5743168.28,3,1.75,1460,7700,1,3,1460,0,1979,2014
8393594.15,3,1,1390,16000,1,4,1390,0,1960,2001
5325149.65,3,3.25,2640,4080,2,3,1840,800,1912,2000
6468862.98,3,1.75,1590,9620,1,3,1590,0,1988,2000
4325279.19,4,2,1910,6960,1.5,5,1910,0,1941,0
7654398.77,3,2.75,2015,16807,2,3,2015,0,2007,0
3503020.13,3,1.75,1410,1197,3,3,1410,0,2012,1912
1694132.39,2,1.5,1110,957,2,3,930,180,2005,0
1632923.21,2,1.25,860,1277,2,3,860,0,2007,0
3932376.43,3,2.5,2310,4729,2,3,2310,0,2011,0
1691341.97,2,1.5,1020,1060,3,3,1020,0,2008,0
1697865.5,2,1,980,1179,2,3,980,0,2010,0
16302984.3,4,2.25,4230,37769,2,3,4230,0,1989,0
5456147.08,3,2.25,1640,11050,1,4,1640,0,1972,0
9265727.35,4,3.5,3810,13592,1,3,2560,1250,2013,1923
6311573.57,4,2.75,2790,10819,2,3,2790,0,1996,0
3579978.98,4,1.75,1750,5500,1.5,5,1050,700,1926,0
4406473.43,4,1,1430,8355,1.5,4,1430,0,1983,0
3517297.63,3,2.5,1850,4597,2,3,1850,0,2003,0
10704014.82,2,1,960,28717,1,4,960,0,1984,0
18710872.38,3,3,2480,45302,1,4,1620,860,1976,1992
7145723.1,4,3,3750,11025,2,3,3750,0,1976,0
8046326.84,4,2.5,2600,11951,2,3,2600,0,1988,2000
5873827.89,3,1.75,1390,8700,1,4,840,550,1912,1989
4878365,4,2.5,2260,7753,2,3,2260,0,1989,0
4945383.86,4,2.25,2470,7447,2,3,2470,0,1984,0
3768130.81,2,1,810,7980,1,1,810,0,1928,0
3681505.94,4,2,1650,6000,1,5,1000,650,1959,0
6758072.52,3,2.25,3000,11665,1.5,3,3000,0,2001,0
8510278.1,2,1,720,18000,1,3,720,0,1950,2005
18968696.64,3,1.5,1390,48257,1,3,1390,0,1922,2013
2183205.09,3,2.25,1445,1606,2,3,1300,145,2003,0
2923134.16,2,1,1840,3300,1.5,4,1130,710,1910,0
4119503.74,3,2.5,2100,5824,2,3,2100,0,1999,0
4797626.35,3,1.5,1060,10464,1,4,1060,0,1973,0
3793607.26,3,1.5,1500,6337,1,5,1500,0,1953,0
5833182.23,4,2.75,1970,7213,1,3,1170,800,1977,2004
2068770.14,3,3.25,1410,1253,3,3,1410,0,2005,0
6265242.54,4,2.75,3720,9450,1,5,1960,1760,1962,0
6817574.63,4,2,2190,14439,1,4,1180,1010,1977,0
4626387.26,3,2,1920,8075,1,4,1510,410,1969,0
4171127.96,3,1,1160,8320,1,4,1160,0,1959,0
22392335.44,4,4.25,5860,52889,2,4,4910,950,1996,0
3317826.48,4,1.75,2000,4000,1.5,5,1450,550,1926,0
4191979.17,4,3,2163,5883,2,3,2163,0,2006,0
23460838.83,5,3,3480,57499,1,4,2340,1140,1976,1992
6383084.25,4,2.5,2840,6268,2,3,2840,0,1998,2006
2863516.95,2,1,1150,4400,1,4,1150,0,1905,0
5535650.23,4,2.75,3100,3773,2,3,2000,1100,1919,1996
6446493.21,3,2.5,1420,14850,1,4,1020,400,1963,0
13127821.05,4,2.25,2430,32496,1,3,2430,0,1993,0
4416735.79,4,2.25,1930,7452,1,3,1430,500,1984,0
5120420.54,3,2.25,1660,10140,1,4,1370,290,1980,0
4028957.2,3,2,1400,7293,1,4,1400,0,1963,0
3972475.53,4,2.5,2660,4000,2,3,2660,0,2001,0
6329591.45,4,2.5,2000,13300,1,4,1200,800,1968,0
4733684.87,4,2.25,2130,8078,1,4,1380,750,1977,0
2166644.54,3,2.25,1352,1694,3,3,1352,0,2007,0
